#;Data/Hora;Ativo;C/V;Quantidade;Preço limite;Status;Tipo;Quantidade executada;Preço médio;Resultado (Abs.);Resultado %;Resultado (R$)
"13582765258";"16/07/2024 / 09:30:04";"WDOQ24";"V";"8";"0,00";"executada";"saída";"8";"5.441,06";"4,69";"0,09";"375,00"
"13582761507";"16/07/2024 / 09:15:21";"WDOQ24";"C";"4";"5.432,00";"executada";"entrada";"4";"5.432,00";"-";"-";"-"
"13582754845";"16/07/2024 / 09:01:01";"WDOQ24";"C";"2";"5.437,00";"executada";"entrada";"2";"5.437,00";"-";"-";"-"
"13582753096";"16/07/2024 / 09:00:38";"WDOQ24";"C";"1";"5.442,00";"executada";"entrada";"1";"5.442,00";"-";"-";"-"
"13582753085";"16/07/2024 / 09:00:38";"WDOQ24";"V";"8";"5.442,00";"cancelada";"saída";"0";"0,00";"-";"-";"-"
"13582752591";"16/07/2024 / 09:00:34";"WDOQ24";"C";"1";"0,00";"executada";"entrada";"1";"5.447,00";"-";"-";"-"
"13582733731";"15/07/2024 / 14:20:46";"WDOQ24";"V";"8";"0,00";"executada";"saída";"8";"5.467,50";"3,63";"0,07";"290,00"
"13582706913";"15/07/2024 / 11:48:22";"WDOQ24";"C";"4";"5.459,50";"executada";"entrada";"4";"5.459,50";"-";"-";"-"
"13582706241";"15/07/2024 / 11:46:38";"WDOQ24";"C";"2";"5.464,50";"executada";"entrada";"2";"5.464,50";"-";"-";"-"
"13582701715";"15/07/2024 / 11:24:14";"WDOQ24";"C";"1";"5.469,50";"executada";"entrada";"1";"5.469,50";"-";"-";"-"
"13582701710";"15/07/2024 / 11:24:14";"WDOQ24";"V";"8";"5.469,50";"cancelada";"saída";"0";"0,00";"-";"-";"-"
"13582701677";"15/07/2024 / 11:24:13";"WDOQ24";"C";"1";"0,00";"executada";"entrada";"1";"5.474,50";"-";"-";"-"
"13582684514";"15/07/2024 / 10:29:03";"WDOQ24";"C";"2";"5.459,00";"cancelada";"entrada";"0";"0,00";"-";"-";"-"
"13582679980";"15/07/2024 / 10:16:31";"WDOQ24";"C";"1";"5.464,00";"executada";"entrada";"1";"5.464,00";"-";"-";"-"
"13582679973";"15/07/2024 / 10:16:31";"WDOQ24";"V";"2";"5.472,50";"executada";"saída";"2";"5.472,50";"6,00";"0,11";"120,00"
"13582679959";"15/07/2024 / 10:16:30";"WDOQ24";"C";"1";"0,00";"executada";"entrada";"1";"5.469,00";"-";"-";"-"
"13582654692";"15/07/2024 / 09:01:07";"WDOQ24";"V";"2";"5.475,00";"cancelada";"entrada";"0";"0,00";"-";"-";"-"
"13582653035";"15/07/2024 / 09:00:50";"WDOQ24";"V";"1";"5.470,00";"executada";"entrada";"1";"5.470,00";"-";"-";"-"
"13582653009";"15/07/2024 / 09:00:50";"WDOQ24";"C";"2";"5.461,50";"executada";"saída";"2";"5.461,50";"6,00";"0,11";"120,00"
"13582652706";"15/07/2024 / 09:00:48";"WDOQ24";"V";"1";"0,00";"executada";"entrada";"1";"5.465,00";"-";"-";"-"
"13582590621";"12/07/2024 / 11:34:17";"WDOQ24";"C";"4";"5.455,00";"cancelada";"entrada";"0";"0,00";"-";"-";"-"
"13582582842";"12/07/2024 / 11:05:56";"WDOQ24";"C";"2";"5.460,00";"executada";"entrada";"2";"5.460,00";"-";"-";"-"
